acc,se,sp,auc
0.9130434782608695,0.8405797101449275,0.9565217391304348,0.9356017643352237
train_acc
0.5218579234972678,0.5683060109289617,0.5573770491803278,0.5601092896174863,0.5860655737704918,0.6079234972677595,0.5901639344262295,0.6079234972677595,0.6161202185792349,0.6489071038251366,0.644808743169399,0.6598360655737705,0.6693989071038251,0.6939890710382514,0.6693989071038251,0.7117486338797814,0.6161202185792349,0.6775956284153005,0.7144808743169399,0.7076502732240437,0.7103825136612022,0.6270491803278688,0.744535519125683,0.7363387978142076,0.7240437158469946,0.6830601092896175,0.7527322404371585,0.7226775956284153,0.7581967213114754,0.6830601092896175,0.7609289617486339,0.755464480874317,0.7663934426229508,0.7103825136612022,0.6775956284153005,0.7800546448087432,0.7144808743169399,0.7281420765027322,0.7663934426229508,0.7800546448087432,0.7745901639344263,0.7185792349726776,0.7827868852459017,0.7759562841530054,0.6721311475409836,0.773224043715847,0.7896174863387978,0.7773224043715847,0.7882513661202186,0.7704918032786885,0.7786885245901639,0.7663934426229508,0.8210382513661202,0.7896174863387978,0.7486338797814208,0.7540983606557377,0.7609289617486339,0.7718579234972678,0.8032786885245902,0.7622950819672131,0.73224043715847,0.7896174863387978,0.7841530054644809,0.75,0.7841530054644809,0.7636612021857924,0.7855191256830601,0.7923497267759563,0.8114754098360656,0.7595628415300546,0.7636612021857924,0.8183060109289617,0.8005464480874317,0.7636612021857924,0.8046448087431693,0.8101092896174863,0.76775956284153,0.7513661202185792,0.7991803278688525,0.8142076502732241,0.8005464480874317,0.8101092896174863,0.7882513661202186,0.7991803278688525,0.7841530054644809,0.8060109289617486,0.819672131147541,0.7800546448087432,0.8005464480874317,0.8087431693989071,0.8073770491803278,0.8005464480874317,0.8319672131147541,0.8142076502732241,0.7363387978142076,0.8101092896174863,0.7923497267759563,0.8060109289617486,0.8306010928961749,0.8060109289617486,0.8265027322404371,0.8060109289617486,0.8224043715846995,0.8169398907103825,0.7745901639344263,0.7978142076502732,0.8128415300546448,0.796448087431694,0.8142076502732241,0.8333333333333334,0.7513661202185792,0.8155737704918032,0.8155737704918032,0.8333333333333334,0.7950819672131147,0.8169398907103825,0.8169398907103825,0.8169398907103825,0.8306010928961749,0.8210382513661202,0.8183060109289617,0.8306010928961749,0.8333333333333334,0.819672131147541,0.7909836065573771,0.837431693989071,0.8319672131147541,0.8169398907103825,0.8019125683060109,0.837431693989071,0.8333333333333334,0.8306010928961749,0.8415300546448088,0.8155737704918032,0.8224043715846995,0.8060109289617486,0.8306010928961749,0.8142076502732241,0.8265027322404371,0.8387978142076503,0.8497267759562842,0.842896174863388,0.8128415300546448,0.8483606557377049,0.8442622950819673,0.8456284153005464,0.8442622950819673,0.8524590163934426,0.8387978142076503,0.8142076502732241,0.8510928961748634,0.8579234972677595,0.8346994535519126,0.819672131147541,0.8524590163934426,0.8524590163934426,0.8401639344262295,0.8101092896174863,0.8483606557377049,0.8538251366120219,0.8278688524590164,0.8442622950819673,0.825136612021858,0.8019125683060109,0.842896174863388,0.8510928961748634,0.8442622950819673,0.8073770491803278,0.8333333333333334,0.8456284153005464,0.8565573770491803,0.8224043715846995,0.8401639344262295,0.8401639344262295,0.855191256830601,0.819672131147541,0.8538251366120219,0.8497267759562842,0.8524590163934426,0.855191256830601,0.8237704918032787,0.8524590163934426,0.8292349726775956,0.8483606557377049,0.8469945355191257,0.8647540983606558,0.8415300546448088,0.8456284153005464,0.8579234972677595,0.8565573770491803,0.842896174863388,0.8715846994535519,0.8183060109289617,0.8319672131147541,0.8497267759562842,0.8579234972677595,0.8442622950819673,0.8497267759562842,0.8415300546448088,0.8524590163934426,0.8387978142076503,0.855191256830601,0.8278688524590164,0.837431693989071,0.860655737704918,0.8510928961748634,0.8729508196721312,0.8620218579234973,0.860655737704918,0.8688524590163934,0.8524590163934426,0.8524590163934426,0.8579234972677595,0.8456284153005464,0.8155737704918032,0.8565573770491803,0.8715846994535519,0.8469945355191257,0.8579234972677595,0.8633879781420765,0.8497267759562842,0.837431693989071,0.8469945355191257,0.8524590163934426,0.8620218579234973,0.8688524590163934,0.8647540983606558,0.8538251366120219,0.8743169398907104,0.889344262295082,0.860655737704918,0.8688524590163934,0.8592896174863388,0.8661202185792349,0.8715846994535519,0.8565573770491803,0.8592896174863388,0.8729508196721312,0.860655737704918,0.8401639344262295,0.8538251366120219,0.8633879781420765,0.8647540983606558,0.8579234972677595,0.8647540983606558,0.8415300546448088,0.8592896174863388,0.8620218579234973,0.8702185792349727,0.8661202185792349,0.8538251366120219,0.8592896174863388,0.8661202185792349,0.8565573770491803,0.8688524590163934,0.8647540983606558,0.8415300546448088,0.8620218579234973,0.8510928961748634,0.8620218579234973,0.8715846994535519,0.860655737704918,0.8538251366120219,0.8661202185792349,0.8866120218579235,0.8647540983606558,0.8661202185792349,0.860655737704918,0.860655737704918,0.8702185792349727,0.8510928961748634,0.8729508196721312,0.8770491803278688,0.8565573770491803,0.8784153005464481,0.8524590163934426,0.8661202185792349,0.8702185792349727,0.8743169398907104,0.8661202185792349,0.8592896174863388,0.8483606557377049,0.8688524590163934,0.8715846994535519,0.8620218579234973,0.8565573770491803,0.8743169398907104,0.8633879781420765,0.860655737704918,0.8483606557377049,0.8688524590163934,0.8647540983606558,0.8333333333333334,0.855191256830601,0.8784153005464481,0.8524590163934426,0.8756830601092896,0.8756830601092896,0.8565573770491803,0.8756830601092896
train_loss
0.0028406396263935528,0.0027992674887506036,0.0027887160823644834,0.0027861122062297467,0.002759940148702736,0.002739325817165479,0.002717646989014631,0.002682692121938278,0.0026702392296712907,0.002630842025162744,0.002641849504793928,0.0026150219590286086,0.002587928146612449,0.0025278754084488084,0.0025389795420599766,0.0024561807106101446,0.0027462351517599137,0.0025328337494792833,0.002444803877606418,0.00244852924933199,0.0024217797921654957,0.002687754038253117,0.0023477144254361345,0.002313659002220696,0.0023263163579617693,0.0024358355770997013,0.002236367411952201,0.002277558129993293,0.002204410283943343,0.002529907014852013,0.002224710713970205,0.002156331280215842,0.002105178240218449,0.002319261920256693,0.0024180743700819587,0.002076887774988602,0.002261883981240903,0.0023117683461455047,0.0020979860278426622,0.0020177501961181725,0.0020465834137520502,0.0024137029556628785,0.0020751874140702963,0.0019810958231081728,0.002579024499231349,0.0021009516846286795,0.002021921381272905,0.002008775910718845,0.0019424565828563085,0.002005341925907656,0.0019346925078845415,0.002020225620986334,0.001817666238448659,0.0019284824286002278,0.002077034140219454,0.0020816124609259307,0.002015066073566187,0.0019823894963238407,0.0018422221714030197,0.002049686519500336,0.0021540262822896403,0.00188803591363417,0.0019175464826854851,0.002109563578673399,0.001970338446846425,0.002031491631692876,0.0018640489118998168,0.0018238625158377684,0.0017725017145683204,0.0020510139035396888,0.00209976146455671,0.0017596091566190043,0.0018266908050886268,0.002101476075219326,0.0017535735756321683,0.001817581309972565,0.0019932057443863707,0.002167367462903424,0.001802478657394159,0.0017883969786388627,0.0018255260717021963,0.0017817446687182442,0.001919298224110421,0.0018938098286018998,0.0018609298464379025,0.001803887631398081,0.0017111905204142378,0.001856517311328096,0.0017766623549122628,0.0017137523801600348,0.001728974852731319,0.0017585660346218796,0.001645484420119739,0.0017691404441666733,0.0022814948864973306,0.0017418704234837183,0.0018920385446704801,0.001776606170206122,0.001743417742148123,0.0016914092696429601,0.00162941600129904,0.001678122563766,0.0016558148740419274,0.001665702445910928,0.0018901880321606913,0.0018924598485394253,0.0016580342513615968,0.0017409935756459262,0.001658452094578352,0.0016728489776778092,0.001980174963917237,0.0017057456116858728,0.001665585272299136,0.001641225334399385,0.0017597004364097054,0.001713728644157368,0.0016428823353814297,0.0016482002992447608,0.0015745143828496256,0.0016619348542286398,0.001737591225267108,0.0016417522899440078,0.0015984243545375887,0.0015971747333886194,0.0018990799133243458,0.001585995931117261,0.001554603337264452,0.0016547054703769787,0.0017186737939959666,0.001512813274977637,0.001601795925468695,0.0015184061367655062,0.001549357354966669,0.001586442640244635,0.0016421377251708443,0.0017871896995872748,0.001626972007295473,0.0016555948579897646,0.0015924550145050215,0.0015475762997820078,0.0014844522531566723,0.0015012798576407094,0.0016884702802355824,0.001499370391903028,0.0014749572413866637,0.0015122074165630861,0.0015141718456002531,0.0014565063467442663,0.00147082310556714,0.0017891674012434288,0.0015082905282739734,0.001420346562002526,0.001558683934758921,0.0016137552880198577,0.001425758329896979,0.0014875154596208874,0.001525241291262413,0.001625922248988855,0.0015222448957422391,0.0014221794455429244,0.0015682120466492867,0.0014667993441956943,0.0015892164140451149,0.0017691403220260078,0.0014913885401246327,0.0014871744428827463,0.0014597683574983982,0.0016333038201097583,0.00153391791985986,0.0014232792000952966,0.0013932849947220641,0.0016682305948330404,0.001552201603931156,0.0014894003343712437,0.0014109670545885472,0.0016762133423096496,0.001440293639084029,0.0014434376619552654,0.0014297437798130056,0.001429887417235661,0.0015715771441251203,0.001423514117308653,0.0015348407740149992,0.001512486507983807,0.0014239131101493627,0.001381122756525467,0.001486616789317522,0.0014529542519095165,0.001371316815334591,0.001378021035038057,0.0015037238923578315,0.0013757128207409967,0.0016099336287362979,0.0015582849419182115,0.0014194320134126423,0.0013936412790433957,0.001399598771431407,0.0013927651233360415,0.0014403665570613465,0.0013364545308827051,0.0014546810359251305,0.0014510296814428652,0.0015052965348535548,0.0015166776020670198,0.001380403429432645,0.0014586341185647933,0.001291496384013546,0.0014141829775982215,0.0013895094231829617,0.0013623523011885054,0.0013852408919178072,0.0013715963138908637,0.0013201062470837369,0.0013584076055412084,0.0016334586130465315,0.001433528226907136,0.0013468870536877157,0.001443749853496343,0.0014227102281617336,0.0013615698273716076,0.0013877844305637756,0.0014765043564832928,0.0014597221476132752,0.0013685065214751196,0.0014182711071003982,0.0013059741242335795,0.001328388483472209,0.001360776645889699,0.0012755667577024365,0.0012449028143465845,0.0014146243125363125,0.0013769030408129666,0.001370520987471596,0.0012869273459976487,0.001358878702088132,0.0013643507667577984,0.0013603461000437293,0.001327940797219511,0.001346304361286059,0.001424871914373721,0.0013994659231008728,0.0013025280067829486,0.001275255543286683,0.0013488974076151196,0.0012913058038617744,0.0014482928755504838,0.0013618155336770855,0.0012960414417454453,0.0012807598530920478,0.0012587595507095421,0.0013276944802107055,0.001305301210593656,0.0012893071347247055,0.001333061992470684,0.0012420429720904657,0.0013616615550114156,0.0014889731677503533,0.0013133496290347615,0.0014168447484084166,0.001349942361722227,0.0012458265234863823,0.0013647233365011997,0.0013832748750519882,0.001264335394231348,0.0012649016587134919,0.0013055150381854324,0.0013357021036695261,0.001304593527577614,0.0012948264678319295,0.0012828024114415945,0.001391247769848245,0.0012211248767180522,0.0012313528953354215,0.0012976189291542344,0.0012935021373092152,0.001310739320158307,0.0012552310290232381,0.0012662420914472778,0.0012346606681255695,0.001306425393279133,0.0013845071115128982,0.0013916642695176796,0.0012906605754393697,0.0013044405667508234,0.0012327936259123797,0.0013722499700191894,0.001254602248877124,0.0012751629199486613,0.0012832091398577872,0.0014224215283419916,0.0012663953372689543,0.0012752221988849952,0.0014150805893491526,0.0013291940011613357,0.0012109567477403443,0.0013987264835117945,0.0012583890980710098,0.0012820112249238894,0.0013056201198713376,0.0012210950336821091
test_acc
0.6358695652173914,0.6413043478260869,0.6358695652173914,0.6521739130434783,0.6467391304347826,0.6413043478260869,0.6902173913043478,0.7010869565217391,0.7336956521739131,0.717391304347826,0.7336956521739131,0.7336956521739131,0.717391304347826,0.7065217391304348,0.75,0.7608695652173914,0.6684782608695652,0.7554347826086957,0.7554347826086957,0.782608695652174,0.7663043478260869,0.782608695652174,0.7771739130434783,0.7771739130434783,0.7445652173913043,0.8043478260869565,0.7554347826086957,0.7771739130434783,0.75,0.8043478260869565,0.8315217391304348,0.8097826086956522,0.8043478260869565,0.7336956521739131,0.8206521739130435,0.8369565217391305,0.7608695652173914,0.8206521739130435,0.8043478260869565,0.8097826086956522,0.7989130434782609,0.8369565217391305,0.8369565217391305,0.8043478260869565,0.8532608695652174,0.8260869565217391,0.8206521739130435,0.8532608695652174,0.8369565217391305,0.842391304347826,0.8097826086956522,0.8206521739130435,0.8260869565217391,0.8206521739130435,0.8043478260869565,0.7771739130434783,0.8369565217391305,0.8641304347826086,0.8478260869565217,0.717391304347826,0.8478260869565217,0.8315217391304348,0.8152173913043478,0.8641304347826086,0.7717391304347826,0.8532608695652174,0.8315217391304348,0.842391304347826,0.842391304347826,0.7010869565217391,0.8641304347826086,0.8641304347826086,0.8097826086956522,0.8369565217391305,0.875,0.8369565217391305,0.7608695652173914,0.8532608695652174,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8152173913043478,0.7989130434782609,0.8586956521739131,0.8043478260869565,0.8478260869565217,0.8586956521739131,0.8260869565217391,0.8586956521739131,0.8478260869565217,0.8641304347826086,0.8695652173913043,0.8586956521739131,0.8097826086956522,0.8695652173913043,0.8641304347826086,0.8804347826086957,0.8532608695652174,0.8532608695652174,0.8804347826086957,0.8478260869565217,0.875,0.8913043478260869,0.8478260869565217,0.8206521739130435,0.8532608695652174,0.8641304347826086,0.8586956521739131,0.8804347826086957,0.7934782608695652,0.842391304347826,0.8858695652173914,0.8858695652173914,0.8532608695652174,0.8641304347826086,0.8532608695652174,0.8532608695652174,0.9021739130434783,0.8695652173913043,0.8369565217391305,0.875,0.8478260869565217,0.8695652173913043,0.842391304347826,0.8695652173913043,0.8804347826086957,0.8804347826086957,0.8097826086956522,0.8967391304347826,0.8641304347826086,0.8858695652173914,0.8695652173913043,0.8641304347826086,0.8695652173913043,0.842391304347826,0.8804347826086957,0.8315217391304348,0.8913043478260869,0.8586956521739131,0.8913043478260869,0.875,0.8858695652173914,0.8695652173913043,0.8695652173913043,0.8641304347826086,0.842391304347826,0.8641304347826086,0.8532608695652174,0.8695652173913043,0.8804347826086957,0.8586956521739131,0.8478260869565217,0.8369565217391305,0.8695652173913043,0.8586956521739131,0.8641304347826086,0.8804347826086957,0.8532608695652174,0.8858695652173914,0.8967391304347826,0.8804347826086957,0.8913043478260869,0.842391304347826,0.875,0.8804347826086957,0.8586956521739131,0.8967391304347826,0.8478260869565217,0.8478260869565217,0.875,0.8858695652173914,0.8641304347826086,0.8695652173913043,0.875,0.8858695652173914,0.8804347826086957,0.9021739130434783,0.875,0.8804347826086957,0.8369565217391305,0.8695652173913043,0.8641304347826086,0.8804347826086957,0.8695652173913043,0.8641304347826086,0.8858695652173914,0.842391304347826,0.8695652173913043,0.8858695652173914,0.8586956521739131,0.8532608695652174,0.8858695652173914,0.8097826086956522,0.875,0.8532608695652174,0.8695652173913043,0.8695652173913043,0.875,0.8913043478260869,0.8858695652173914,0.8478260869565217,0.8913043478260869,0.8478260869565217,0.8641304347826086,0.8641304347826086,0.8913043478260869,0.8804347826086957,0.875,0.8967391304347826,0.875,0.8695652173913043,0.8641304347826086,0.8695652173913043,0.8858695652173914,0.8695652173913043,0.8695652173913043,0.8586956521739131,0.8641304347826086,0.8641304347826086,0.8641304347826086,0.8478260869565217,0.875,0.8586956521739131,0.8695652173913043,0.8804347826086957,0.8913043478260869,0.8532608695652174,0.8858695652173914,0.875,0.8641304347826086,0.8641304347826086,0.8695652173913043,0.875,0.8586956521739131,0.8804347826086957,0.8913043478260869,0.8641304347826086,0.8695652173913043,0.8641304347826086,0.8695652173913043,0.8532608695652174,0.9021739130434783,0.8858695652173914,0.8641304347826086,0.9130434782608695,0.8695652173913043,0.8858695652173914,0.875,0.8913043478260869,0.8586956521739131,0.8641304347826086,0.8858695652173914,0.8695652173913043,0.8858695652173914,0.875,0.8913043478260869,0.875,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8804347826086957,0.8369565217391305,0.8913043478260869,0.8641304347826086,0.8858695652173914,0.8586956521739131,0.9021739130434783,0.875,0.8586956521739131,0.8586956521739131,0.8804347826086957,0.8913043478260869,0.8804347826086957,0.8858695652173914,0.8967391304347826,0.875,0.8913043478260869,0.8641304347826086,0.8804347826086957,0.8913043478260869,0.8532608695652174,0.8641304347826086,0.9021739130434783,0.8804347826086957,0.842391304347826,0.8641304347826086,0.875,0.842391304347826,0.8695652173913043,0.875,0.8586956521739131,0.8858695652173914,0.8804347826086957,0.8913043478260869,0.8641304347826086,0.8695652173913043,0.875,0.8967391304347826,0.875,0.8641304347826086
test_loss
0.003634850939978724,0.0036253689423851347,0.0035483568258907485,0.0035529687352802443,0.0035106717892315078,0.003457309759181479,0.0033867096771364627,0.0033590842200362163,0.003339301956736523,0.003288899426874907,0.0032289141546124997,0.003076905789582626,0.0031583273540372434,0.003063472392766372,0.003095090389251709,0.0028496932076371236,0.003587356728056203,0.003079310383485711,0.003127157688140869,0.00278864412204079,0.0030898377299308777,0.0030913090576296267,0.0028435335211131883,0.003021432329779086,0.002844102356744849,0.0028858149181241574,0.003103528981623442,0.0025546183080776877,0.0031698825566664987,0.0025736082183278127,0.002456250883962797,0.0024562285322210064,0.0023355373869771543,0.003116996715898099,0.00262835799999859,0.0023009974671446757,0.0028069693109263544,0.0023473910987377167,0.0022829241402771163,0.002243157800125039,0.0026150462420090385,0.0023734908065070276,0.0022481242599694624,0.0026198920348416204,0.002716690949771715,0.002273849333110063,0.0025289484664149904,0.0021627397964829984,0.0020870529115200043,0.002059868010489837,0.0021965676999610405,0.0021314447664696236,0.002099567133447398,0.0024561352379944014,0.0024647555597450423,0.002449493045392244,0.0021318624848904815,0.0019192447804886362,0.0020371071346428084,0.0029782338634781217,0.0020544904729594355,0.0021585180707599807,0.002226750001959179,0.0021098651315854945,0.002649460635755373,0.002016933553892633,0.0020386868196984997,0.0019577464655689573,0.0019137501392675483,0.002924686216789743,0.0018808785016122072,0.001866569661575815,0.002294984362695528,0.0019452837498291678,0.0017982663019843724,0.002113921810751376,0.0027631287989409075,0.001989377419585767,0.0019136119795882184,0.0018889180020145748,0.0017987870327804399,0.0022065945617530656,0.0023396128545636716,0.002062518149614334,0.002362233465132506,0.0018960710452950518,0.0018433136460573776,0.0021969580455966616,0.0019273187803185504,0.001996834478948427,0.0018962696194648743,0.0017579212460828865,0.001759308187857918,0.0024915609670721965,0.001991392477698948,0.0019075221017650936,0.002064313415599906,0.0018666631177715633,0.0018156467248564181,0.001757110752489256,0.0018664337694644928,0.00174023502546808,0.0017410652792972066,0.001909028576767963,0.0022427130328572316,0.0019475158465945203,0.0017972146363362022,0.0018653339989807296,0.0017503386606340823,0.0024659541314062867,0.0018237636465093365,0.0018155250860297162,0.0016670107193615127,0.0019821931162606115,0.0018414351279320924,0.0017960087760635045,0.001960166284571523,0.0016860531076141026,0.0017347264549006586,0.002206708426060884,0.0016462828802025836,0.0020605222038600755,0.0017201142466586568,0.0019792324822881947,0.0018240410996520002,0.0016942835696365523,0.0018015330576378367,0.0023905633260374484,0.0016678218608317168,0.0019136294722557068,0.001589677903963172,0.0017267740938974464,0.0017306540647278662,0.0017862883598908134,0.0020690699634344683,0.0017895935022312663,0.00225608067020126,0.0017770230770111084,0.0018450151319089143,0.0016220359374647555,0.0017422061899433966,0.0016330563179824662,0.0017035150009652843,0.0016844530144463415,0.0018424419281275375,0.0019619555576987887,0.0017787297458752341,0.0018733247466709304,0.0018302485670732415,0.0017668316545693772,0.0017420298055462215,0.001801520586013794,0.0020467198413351307,0.0016506915183170981,0.0018135791887407718,0.0018776175768479056,0.0016967707678027775,0.0017953029145365176,0.001668088947949202,0.0015464287413203199,0.0016947859979194143,0.0016804191729296808,0.002005112235960753,0.0017775404064551644,0.0016777690338051837,0.001727299521798673,0.0016617983903573906,0.0018750009653360946,0.0017076191370901854,0.0016754449385663738,0.0016750850431297135,0.0017679409812326016,0.0017176285062147224,0.0016089462391708207,0.0016628275422946267,0.0017852548347867053,0.0017067794890507407,0.0016877894168314726,0.001699932081543881,0.0021202343961466913,0.0016202614035295403,0.0018085898912471273,0.001726626378038655,0.0017691700030928073,0.001827564414428628,0.0016269959185434425,0.002126352618569913,0.0016480063938576243,0.0017331172914608665,0.0016964202665764353,0.001830616884905359,0.0016874648306680763,0.0026632064710492673,0.001622294764155927,0.0019068790842657504,0.001856091391781102,0.0016914729190909345,0.0016814970775790837,0.0016852960638377977,0.001626405541015708,0.002096464128597923,0.0016775932972845824,0.002078840590041617,0.001682668924331665,0.0018201186929060066,0.0016472407657167187,0.0016750419593375661,0.0017839700955411663,0.0015770956549955451,0.0017579866816168246,0.0017169782001039257,0.0016769381320994833,0.001734988844912985,0.0016755581549976182,0.0017550688074982684,0.0016505279294822526,0.0016661976342615874,0.0018427705635195193,0.001759437277265217,0.0017629839155984962,0.002053570164286572,0.0017200510786927264,0.0018137196159881094,0.0017129524570444355,0.0016286086453043897,0.0016410498191481051,0.0017244132316630819,0.0017188052120416062,0.0017164368992266448,0.0017020961512690005,0.0017706423026064167,0.001754860353210698,0.0016836600135201993,0.001815128909504932,0.001657935426287029,0.0016215098616869552,0.0018163480512473893,0.0017927028238773346,0.0017999337743157926,0.001839294705701911,0.001957203059092812,0.00161099158551382,0.0017977562611517699,0.0017588136960630832,0.0016119067111740942,0.0018711313605308533,0.0016538361492364304,0.0016657400714314501,0.0016075110305910525,0.0017840496223905811,0.0017970959129540818,0.0016400924195414004,0.0016937168396037557,0.0015846999443095663,0.0016377445148385089,0.0016966364953828895,0.0018128759187200794,0.0018217503700567329,0.0017793625593185425,0.0018393458879512289,0.0016695382478444474,0.0023931206568427706,0.0016088299453258514,0.0017011240124702454,0.0017190199831257696,0.001965156067972598,0.0017256101836328921,0.0017302538389744966,0.0017072291153928509,0.0019042190650235052,0.0017637361003004987,0.0017355887786201808,0.001677245873471965,0.001721969117289004,0.0017250901007133982,0.0016497231048086414,0.001672632020452748,0.0019238766120827715,0.0018205145454925039,0.0016537642349367557,0.001972239788459695,0.0017479141445263572,0.0015646016792110775,0.001661320905322614,0.002067836730376534,0.0017303714285726132,0.0017798729240894318,0.0020951316084550776,0.0016813973045867422,0.0018232702884985053,0.0017418385199878526,0.0017420913538207178,0.0017099863161211429,0.0017520087244717972,0.0017985371143921561,0.001891861143319503,0.0017619183206039927,0.0016731195475744164,0.0017281939154085906,0.0017683833189632583
acc,se,sp,auc
0.9130434782608695,0.8260869565217391,0.9652173913043478,0.9257718966603654
train_acc
