acc,se,sp,auc
0.8743169398907104,0.7432432432432432,0.963302752293578,0.9086288122985371
acc,se,sp,auc
0.8743169398907104,0.7432432432432432,0.963302752293578,0.9021819985122738
acc,se,sp,auc
0.8688524590163934,0.7837837837837838,0.926605504587156,0.9071410860401686
acc,se,sp,auc
0.8797814207650273,0.7972972972972973,0.9357798165137615,0.8923878006446814
acc,se,sp,auc
0.8743169398907104,0.7837837837837838,0.9357798165137615,0.9036697247706422
acc,se,sp,auc
0.8743169398907104,0.7837837837837838,0.9357798165137615,0.9151996032729977
