acc,se,sp,auc
0.8360655737704918,0.7325581395348837,0.9278350515463918,0.8855190601774154
acc,se,sp,auc
0.8524590163934426,0.7674418604651163,0.9278350515463918,0.8821625509470151
acc,se,sp,auc
0.8579234972677595,0.7790697674418605,0.9278350515463918,0.8855190601774154
acc,se,sp,auc
0.8469945355191257,0.7790697674418605,0.9072164948453608,0.8959482138575882
acc,se,sp,auc
0.8469945355191257,0.8023255813953488,0.8865979381443299,0.8936705825941021
acc,se,sp,auc
0.8415300546448088,0.7441860465116279,0.9278350515463918,0.888995444737473
